acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,class
54,0.00131,0.521,225930,0.7659999999999999,0.0,4,0.20199999999999999,-5.37,1,0.0302,96.53399999999999,4,0.35200000000000004,1
55,0.00355,0.8270000000000001,260507,0.747,0.0253,0,0.10099999999999999,-6.247000000000001,0,0.0377,122.984,4,0.9690000000000001,1
56,0.0168,0.657,237987,0.885,0.0,2,0.147,-4.695,1,0.0344,105.01100000000001,4,0.8690000000000001,1
57,6.68e-05,0.377,228461,0.9620000000000001,0.107,0,0.15,-4.041,0,0.0709,130.101,4,0.21899999999999997,0
58,0.647,0.409,205859,0.439,0.0,0,0.0969,-8.693,0,0.0397,78.003,4,0.17300000000000001,1
59,0.000713,0.17300000000000001,235640,0.9259999999999999,0.043,2,0.29100000000000004,-4.027,1,0.132,201.231,4,0.0703,0
60,0.235,0.7909999999999999,228101,0.935,0.000261,10,0.135,-4.999,0,0.0618,118.006,4,0.6729999999999999,1
61,0.0141,0.623,205613,0.93,1.64e-06,5,0.138,-5.285,1,0.0324,120.119,4,0.287,1
62,0.0293,0.447,227853,0.6940000000000001,5.46e-06,7,0.16699999999999998,-4.637,0,0.382,175.868,4,0.509,1
63,0.000466,0.42100000000000004,142613,0.96,8.81e-06,7,0.32,-5.864,1,0.13699999999999998,174.93200000000002,4,0.33899999999999997,0
64,0.0674,0.34700000000000003,170067,0.83,0.00463,4,0.201,-6.218,0,0.0633,78.06,4,0.312,1
65,0.000233,0.58,255093,0.971,3.18e-06,4,0.598,-4.038,1,0.0675,115.03299999999999,4,0.36200000000000004,0
66,0.26899999999999996,0.625,168053,0.9229999999999999,0.0,1,0.623,-5.191,0,0.125,171.859,4,0.722,1
67,5.71e-06,0.287,271283,0.953,4.73e-05,7,0.49700000000000005,-2.819,1,0.08800000000000001,92.48299999999999,4,0.32,0
68,0.163,0.6829999999999999,240080,0.601,0.0,7,0.251,-6.912000000000001,1,0.0316,98.98100000000001,4,0.643,1
69,0.332,0.614,202480,0.597,0.0,5,0.28600000000000003,-6.8,1,0.0567,82.001,4,0.354,1
70,0.523,0.713,217757,0.9209999999999999,0.0,9,0.563,-4.745,1,0.0575,93.97399999999999,4,0.92,0
