acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,class
44,3.14e-05,https://api.spotify.com/v1/audio-analysis/1RqbnnEGAD6RkWBfToVEj4,0.255,199667,0.962,1RqbnnEGAD6RkWBfToVEj4,0.0,7,0.359,-4.326,1,0.254,121.201,3,https://api.spotify.com/v1/tracks/1RqbnnEGAD6RkWBfToVEj4,audio_features,spotify:track:1RqbnnEGAD6RkWBfToVEj4,0.291,0
45,0.000148,https://api.spotify.com/v1/audio-analysis/2PxtbpxY9KMlsiZT2jN817,0.477,290547,0.953,2PxtbpxY9KMlsiZT2jN817,1.18e-06,0,0.4,-3.553,0,0.0606,130.914,4,https://api.spotify.com/v1/tracks/2PxtbpxY9KMlsiZT2jN817,audio_features,spotify:track:2PxtbpxY9KMlsiZT2jN817,0.365,0
46,0.000667,https://api.spotify.com/v1/audio-analysis/0GfeeczySXlnq6FmXu8X5v,0.604,248348,0.987,0GfeeczySXlnq6FmXu8X5v,9.04e-05,2,0.37,-3.577,1,0.223,119.014,4,https://api.spotify.com/v1/tracks/0GfeeczySXlnq6FmXu8X5v,audio_features,spotify:track:0GfeeczySXlnq6FmXu8X5v,0.287,0
47,0.43,https://api.spotify.com/v1/audio-analysis/0VPNdofpe6TSHJ798VuiiP,0.719,234346,0.585,0VPNdofpe6TSHJ798VuiiP,0.0,7,0.0669,-5.128,0,0.0309,117.995,4,https://api.spotify.com/v1/tracks/0VPNdofpe6TSHJ798VuiiP,audio_features,spotify:track:0VPNdofpe6TSHJ798VuiiP,0.736,1
48,0.00157,https://api.spotify.com/v1/audio-analysis/2qxastNttHeEtZfA4ihgrq,0.586,293143,0.854,2qxastNttHeEtZfA4ihgrq,0.0,4,0.4,-8.377,0,0.121,139.95,4,https://api.spotify.com/v1/tracks/2qxastNttHeEtZfA4ihgrq,audio_features,spotify:track:2qxastNttHeEtZfA4ihgrq,0.288,0
49,0.0568,https://api.spotify.com/v1/audio-analysis/0ueSj6goFDHHKCADDz56H4,0.733,223479,0.765,0ueSj6goFDHHKCADDz56H4,0.0,10,0.428,-7.195,1,0.0372,91.996,4,https://api.spotify.com/v1/tracks/0ueSj6goFDHHKCADDz56H4,audio_features,spotify:track:0ueSj6goFDHHKCADDz56H4,0.95,1
50,0.000308,https://api.spotify.com/v1/audio-analysis/2IiuyEpN0t9HHDA7lHULce,0.537,215160,0.866,2IiuyEpN0t9HHDA7lHULce,1.38e-06,11,0.382,-3.08,0,0.0445,126.003,4,https://api.spotify.com/v1/tracks/2IiuyEpN0t9HHDA7lHULce,audio_features,spotify:track:2IiuyEpN0t9HHDA7lHULce,0.416,1
51,1.41e-05,https://api.spotify.com/v1/audio-analysis/4SAeLRKTvdvEKUvpYIoBzT,0.207,242067,0.977,4SAeLRKTvdvEKUvpYIoBzT,0.0,1,0.296,-2.583,0,0.193,128.278,4,https://api.spotify.com/v1/tracks/4SAeLRKTvdvEKUvpYIoBzT,audio_features,spotify:track:4SAeLRKTvdvEKUvpYIoBzT,0.42,0
52,0.104,https://api.spotify.com/v1/audio-analysis/5xHooj89TQoQHj3dALvSh1,0.743,231667,0.733,5xHooj89TQoQHj3dALvSh1,1.05e-05,7,0.149,-5.183,0,0.0513,153.978,4,https://api.spotify.com/v1/tracks/5xHooj89TQoQHj3dALvSh1,audio_features,spotify:track:5xHooj89TQoQHj3dALvSh1,0.807,1
53,0.00313,https://api.spotify.com/v1/audio-analysis/1AT5viFqaGU9Hu5smdNlgB,0.367,226787,0.881,1AT5viFqaGU9Hu5smdNlgB,0.0,7,0.185,-4.752,1,0.127,164.028,4,https://api.spotify.com/v1/tracks/1AT5viFqaGU9Hu5smdNlgB,audio_features,spotify:track:1AT5viFqaGU9Hu5smdNlgB,0.514,1
